study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,k,k.hacked
1140,0.00741231579431088,2.68873188860011,1.96472939098769,1.18581631437343,0.68845067207235,1.31145450846934,0.237909325069814,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1141,0.013105357039596,2.48981661210719,1.96472939098769,1.21781042347636,0.591027265906458,1.18838279706425,0.227812731991271,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1142,0.413062095960786,-0.819202265777919,1.96472939098769,0.293149633232852,-0.0877473550661122,-0.414170457016428,0.255608884363868,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1143,7.63790513034501e-10,6.27404953170903,1.96472939098769,2.22580317469331,2.93302281401939,3.21685496182399,0.262885767742923,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1144,0.0771189633308583,-1.77131308450567,1.96472939098769,1.24558490828913,0.158152550175662,-0.853892088378684,0.232388866639176,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1145,0.0710042716973531,1.80931132665551,1.96472939098769,0.605898201883862,1.09312705608694,0.89076497835492,0.242381608759035,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1146,0.645091862701135,0.460871127111621,1.96472939098769,1.5197289371854,0.337305422619949,0.227441245475703,0.24354512884131,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1147,0.394769883224548,0.851734774171837,1.96472939098769,0.481945190555065,0.0892756565819558,0.466359263611753,0.29980057277596,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1148,0.0276445029788084,2.2087676690355,1.96472939098769,0.841149825284219,1.42526279005104,1.06960891042444,0.234503835864851,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1149,0.240534813680771,1.17505072152955,1.96472939098769,0.822375359703319,0.367784547944063,0.578404467166478,0.242298123057291,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1150,0.145879443661562,1.45651420125379,1.96472939098769,0.901230845266298,0.944579376302861,0.737606574862299,0.256460279759584,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1151,0.0751297270408548,1.78339488724537,1.96472939098769,1.90077133536718,0.887267084576506,0.8840427268669,0.245726206736592,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1152,0.00535179830893878,2.79732721483153,1.96472939098769,1.32713837223317,1.65903865498164,1.34035869491186,0.229591354813278,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1153,0.0837670654543403,1.73269876265823,1.96472939098769,0.402106856017054,0.989100012236222,0.916399900812596,0.279720268538066,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1154,0.0561516940042694,1.9143136940795,1.96472939098769,0.187372946945089,0.571131391170377,0.949702228163762,0.246121017408261,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
1155,0.000126777524859669,3.86297370178843,1.96472939098769,0.923401516303767,1.46332001144231,1.89587343566912,0.240865822088569,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
1156,8.1034447017644e-06,4.50962128326352,1.96472939098769,1.67937888959725,2.05560414795648,2.23911463516894,0.246531554516104,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
