study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di,Mu,T2,m,t2w,se,Nmax,k,k.hacked
1,0.000168761427404245,3.79044881958523,1.96472939098769,1.49038113610763,1.68773307574253,1.9065732214307,0.253003019205454,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
2,0.0619340265097543,1.87097155585509,1.96472939098769,1.46567936579279,1.27617617345901,0.971465354886841,0.269600233567031,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
3,0.390766907994941,0.858974702694745,1.96472939098769,0.176678819456362,0.400655613160964,0.450168209262983,0.274655877046967,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
4,0.00190136102491095,3.12185999545529,1.96472939098769,0.695569188483352,0.659969635763274,1.571508399949,0.253399975362026,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
5,0.00208340854735665,3.09430836051015,1.96472939098769,1.37589967996253,0.333208281956013,1.53202227004555,0.245133674545623,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
6,8.94402826688684e-06,4.48778139453175,1.96472939098769,1.47877965179945,1.66322912011738,2.32377606476233,0.268117499667692,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
7,0.947335318796668,-0.0660866361781913,1.96472939098769,1.66333063015211,0.979222121149173,-0.0323851456076925,0.240139949265602,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
8,0.117658898303813,1.56738380223658,1.96472939098769,0.775345544012504,0.528639521807745,0.77477654913084,0.244344307349659,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
9,0.00135380280060185,3.22250576179883,1.96472939098769,1.5433262789049,1.78860530327256,1.63116987422363,0.256218791715236,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
10,0.15477851440202,1.42501325581031,1.96472939098769,1.06359913231083,0.560297396902669,0.715914617843247,0.252397269149092,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
11,2.38618463548341e-09,6.08035404083038,1.96472939098769,1.85234916258419,1.867325785142,3.01249149450691,0.245467457009615,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
12,0.684422804992949,0.406672635301735,1.96472939098769,0.252934443047513,0.0329478343145405,0.214846262734104,0.279103772675304,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
13,0.0015060144314738,3.19121417178996,1.96472939098769,0.924767278745987,1.22398080880227,1.63521758087663,0.262566425346206,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
14,0.00354558194773975,2.92993762805775,1.96472939098769,1.20493859032,1.98124551805595,1.46963111819524,0.25159379608571,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
15,0.104860572734065,1.62468756901577,1.96472939098769,1.12617872925547,0.426831513039804,0.803139683940963,0.244366942838107,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
16,0.00720641645991397,2.6982620776379,1.96472939098769,1.79251994564553,1.4721734090294,1.44219048496633,0.285678128762362,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
17,0.55294517727419,0.593754799296301,1.96472939098769,1.1947438605525,0.819274664240577,0.290212197429549,0.238900499141638,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
18,0.00164566818740627,3.16497679392724,1.96472939098769,1.13926484681155,1.44379864228708,1.55944761272869,0.242773075250835,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
19,0.000290256510749021,3.64966583901061,1.96472939098769,1.35972960943375,2.33514343236753,1.91655379231274,0.275762889637527,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
20,0.00341667812035144,2.94162770521763,1.96472939098769,1.20785177042561,1.32039439061574,1.43622660926561,0.238380388396061,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
21,7.98576077774498e-05,3.97780166072602,1.96472939098769,1.08939517310485,1.79165650276808,2.04690325425788,0.264794148338012,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
22,0.0595951139565468,1.88807980136604,1.96472939098769,0.645485917158537,0.771717341377217,0.944043302847021,0.250001801920727,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
23,0.085517392108679,1.72294835505258,1.96472939098769,1.41807304618966,1.1333850598152,0.887381200373796,0.265262542469572,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
24,0.20969588439485,1.25602159667116,1.96472939098769,0.851049444387454,0.747214376203748,0.604401567282015,0.231556485742049,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
25,0.912909020286468,0.109425473717329,1.96472939098769,0.137777686719479,0.380790824084108,0.0542214005923338,0.245530016197023,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
26,0.810968281730615,-0.239303792941967,1.96472939098769,0.565361640090232,-0.438299214774846,-0.123231841487648,0.265183630627635,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
27,0.0415588487132561,2.04318543684606,1.96472939098769,0.40096349699824,0.8162664386057,1.11038522646025,0.295346467602746,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
28,0.866629354063632,-0.168027969465775,1.96472939098769,-0.173523718026049,0.560162349525862,-0.0878326328210685,0.273242747664722,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
29,0.915394663145877,0.106290401097853,1.96472939098769,0.949398736159023,0.194056760524758,0.0524606389806925,0.243600996385711,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
30,0.470074200920958,0.72290945586542,1.96472939098769,0.182274834537399,0.611526711815969,0.360243704752116,0.248327599043088,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
31,0.00270226636237608,3.01481706204107,1.96472939098769,1.34632118686441,1.5277738364071,1.53454870972194,0.259083304621116,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
32,0.0222276206723513,2.29361112842371,1.96472939098769,1.38178745205663,1.73308918587623,1.1818976181978,0.265534001804988,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
33,0.350723742270248,0.934061865114906,1.96472939098769,0.651020429109969,0.181931004056417,0.447090374759015,0.229107526898559,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
34,0.147690179026341,1.44998766779203,1.96472939098769,0.541237237378571,0.0836889392060264,0.677698283462257,0.218446028893154,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
35,0.00854366960958225,2.64026196565688,1.96472939098769,1.96960031108827,1.06728981778925,1.3057190992606,0.244571290116875,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
36,2.22284003775866e-06,4.78806060598354,1.96472939098769,2.02187292497984,2.00070502695705,2.40828895420894,0.252986827879137,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
37,0.0869281087257292,1.71520687103544,1.96472939098769,0.865375707663366,0.990721956744581,0.839317991754742,0.239452871855685,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
38,0.0590523440901437,1.89212961860486,1.96472939098769,0.646153871547732,0.850739789519365,0.909114299903919,0.230852833800005,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
39,0.9517272905825,0.0605682740829904,1.96472939098769,0.824322926676081,0.432081914474003,0.0302289916662926,0.249090362602725,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
40,0.000487503905273345,3.51066648486814,1.96472939098769,0.724276343441739,1.65042909357444,1.70519015608225,0.235920938523169,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
41,0.509911441781056,-0.659449407671231,1.96472939098769,0.923712917602843,-0.0552231082662846,-0.337705790763999,0.262249126551554,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
42,0.00130531164714132,3.2331606753196,1.96472939098769,1.37080706342926,1.2941838921709,1.68917517409508,0.272957356907091,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
43,0.888950247488928,-0.139703983012647,1.96472939098769,1.02623016609709,-0.145848039023587,-0.0688990889887656,0.24322565560234,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
44,0.0395635886969935,2.06369033856031,1.96472939098769,0.441970972813121,0.852761442111762,1.01035997425521,0.239697334398515,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
45,0.815331780189522,-0.233676738988199,1.96472939098769,0.678653929205419,0.68916858690142,-0.115328863574081,0.243581925123496,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
46,0.151653315207658,1.43591423465284,1.96472939098769,0.44199663869593,-0.0186182584887355,0.722279269947861,0.253019095673714,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
47,0.278949166085908,1.08386252598722,1.96472939098769,0.238930743963587,0.138604687888917,0.52403814402549,0.233763874927273,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
48,0.0234766970741241,2.2725685623674,1.96472939098769,1.20131558937904,1.28212298153781,1.16761735789929,0.263977612185651,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
49,0.00763083864367784,2.67887447528052,1.96472939098769,0.862600272265741,0.850475514007618,1.38637899118645,0.267829992208516,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
50,0.144034185547984,1.46322947152403,1.96472939098769,0.835592369869995,0.447445315838765,0.733132821572187,0.251038566293568,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
51,0.164981202452811,1.39055184985184,1.96472939098769,0.621770414740232,0.875726766551901,0.66159516734475,0.226365519141645,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
52,0.991583317467727,-0.010554229802804,1.96472939098769,0.532853608719375,0.14204898014409,-0.00528531592586285,0.25077764053954,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
53,0.0679373700133966,-1.82939250532327,1.96472939098769,-0.511845105419631,-0.459097794150635,-0.933342422948811,0.26029643568101,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
54,0.424193533459154,-0.799823694481631,1.96472939098769,0.788369160055946,0.348500701799153,-0.416512381996354,0.2711860226164,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
55,0.0152496749087631,2.43479473897921,1.96472939098769,1.53291146016824,1.2543055413513,1.23229809674866,0.256157364374353,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
56,3.25571475012496e-06,4.70735388219566,1.96472939098769,1.11907362120937,1.62854683061117,2.33264331424464,0.245551716759375,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
57,0.75276393274374,0.31517053252666,1.96472939098769,0.905542318362928,0.425928248740802,0.155740152643458,0.244179939052541,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
58,7.61214601151588e-09,5.87779981558199,1.96472939098769,1.64392520563461,1.99380776363943,2.95184045520583,0.252206444195831,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
59,0.000476241364695659,3.51703041497186,1.96472939098769,0.870795191614168,1.60018384883615,1.6841084093262,0.229291439450562,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
60,0.0249915774202881,2.24831814645118,1.96472939098769,1.38182237886124,1.65770656880438,1.10544698075237,0.24174656075905,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
61,7.76329266673211e-05,3.98473076857929,1.96472939098769,1.49845977869407,1.71115542850124,2.01186414460423,0.254917314642583,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
62,0.74950145263931,0.31947314807167,1.96472939098769,0.794023518283948,1.00215959711617,0.153379117991312,0.230496189138532,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
63,0.00737021363331169,2.69066106891344,1.96472939098769,1.05481778662996,1.42664739642395,1.29699672749175,0.23235914546323,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
64,0.0809226966728474,1.74890262993324,1.96472939098769,0.416970256931535,1.02586049505379,0.85602411051316,0.23957457834374,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
65,0.00303642981630851,2.97862274713466,1.96472939098769,1.49164191876525,1.56491189759101,1.46304859734307,0.241260653916771,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
66,1.56445438020179e-05,4.3623225500465,1.96472939098769,1.34360373932611,1.59539039653254,2.16816318933034,0.247029253082031,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
67,0.00415066179628704,2.87977162984474,1.96472939098769,0.980541128327748,1.15027349469059,1.42603517838415,0.245213502363908,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
68,0.20929379294991,1.25713235461622,1.96472939098769,1.58799934720264,0.978297883364981,0.643726130038553,0.262204577250381,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
69,0.83507693924196,-0.208303568870086,1.96472939098769,1.1438879126411,0.524686682516754,-0.0997586342264398,0.229354659621298,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
70,0.801310066064102,0.25178609905139,1.96472939098769,0.973512972460557,0.510855123466724,0.129225457992645,0.263410244501586,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
71,0.0394934290455806,2.06442723233621,1.96472939098769,0.926202126971622,0.776853381258411,1.06218601086601,0.26472929079267,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
72,0.258910500821674,1.13025799770963,1.96472939098769,1.18297921151214,1.26476145696856,0.592120300820931,0.274450941296747,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
73,0.0900441340663637,1.6984611212219,1.96472939098769,0.41523832914014,0.437397485171496,0.830925941921004,0.239338969069952,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
74,0.00294346002363189,2.98831116733086,1.96472939098769,0.915774898983232,1.08445425057102,1.45419163030632,0.236805424119545,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
75,0.00216896851153158,3.0821173101448,1.96472939098769,0.897803970661668,1.46872876775696,1.60230675308878,0.270266985048724,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
76,0.00176709953443941,3.14378316423979,1.96472939098769,0.430983222170624,1.10768427359192,1.53192329475491,0.237448195049276,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
77,0.332865894486659,0.969298414080375,1.96472939098769,1.27193394044606,0.846107663567554,0.483788869741932,0.24911320016518,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
78,1.1209631057756e-07,5.38442234334025,1.96472939098769,1.73741747730467,2.57605492672397,2.79625766504718,0.269697014978055,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
79,0.000179677446867772,3.77440201410235,1.96472939098769,1.32262134237853,1.81596226147573,1.86667286793983,0.244590801133701,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
80,3.2939888766626e-07,5.17586556001176,1.96472939098769,2.0707225710187,2.20386008993821,2.41475795947446,0.217661309655516,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
81,0.000392143139828104,3.56956565684178,1.96472939098769,1.26747158781042,0.990244575694044,1.75836704099289,0.242654483567517,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
82,0.00235176552134696,3.05748731490529,1.96472939098769,1.42331764566416,1.24693861414875,1.58368752663133,0.268293199454682,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
83,5.89541085121073e-05,4.05170881670171,1.96472939098769,1.69969508002097,2.42513774720577,2.09721479480739,0.267922614542817,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
84,0.000166603658226194,3.79373637352079,1.96472939098769,1.8414775887916,2.17903303636762,1.83342324788853,0.233556076438841,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
85,0.0983182480179807,1.65615911504039,1.96472939098769,1.2676187595506,0.784442301682474,0.775325777473038,0.219161532338029,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
86,0.0235528196875895,2.27131794952689,1.96472939098769,1.1234464879834,1.48042489870864,1.10603391489241,0.237127008426138,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
87,0.0190776335217955,-2.35166099484208,1.96472939098769,0.376553157728163,-0.0839540871781253,-1.12373209855586,0.228336921151323,1,no,TRUE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
88,0.0871172964606526,1.71417643304362,1.96472939098769,1.37235591002779,1.28643580658678,0.822238851796638,0.230083220563965,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
89,0.0463502531976472,1.99716111466569,1.96472939098769,0.509920074165214,0.391213675169609,1.08365902193223,0.294414434582975,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
90,0.00388461789723174,2.90094777204631,1.96472939098769,0.915750922570528,0.446811081974472,1.4929667929693,0.264862501450128,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
91,0.0132508680550999,2.48583949001495,1.96472939098769,1.11185777261362,1.04483371577053,1.21928695871539,0.240583418462863,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
92,0.908029550000351,-0.115582979473044,1.96472939098769,1.31173954729546,0.639123244482872,-0.0535972728022799,0.215029286133692,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
93,0.166266944521864,1.38632448513309,1.96472939098769,1.21775722252205,1.1191380163947,0.71116391522714,0.263153794664834,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
94,0.739734669230709,0.332389604174136,1.96472939098769,1.18862008626816,0.698474754364983,0.164548305613681,0.245071023552184,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
95,0.41617866241467,-0.813745890505144,1.96472939098769,0.664087966498579,-0.418868879165539,-0.404462891306409,0.247047092749051,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
96,5.841801547407e-05,4.05391585837359,1.96472939098769,1.59158748234611,1.32489005889442,1.96654567774768,0.235319878787456,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
97,0.0949562213488809,1.67298898613114,1.96472939098769,1.50409764423247,1.24647511160174,0.815851795174647,0.237813433516128,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
98,0.461911407806196,0.736271586237056,1.96472939098769,1.08165938761614,-0.23480849761384,0.37165331103323,0.254800297646986,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
99,0.0552852989000513,-1.92112528368842,1.96472939098769,1.01379843515116,0.30259264971283,-0.966369595748951,0.253031820224626,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
100,0.0982764669959954,1.65636541303937,1.96472939098769,1.0935041312958,1.26455965136385,0.811763986997109,0.240185759215058,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
101,0.627660969016878,0.485321980573047,1.96472939098769,0.642166250316765,0.373236127658476,0.230284705924406,0.225149127878778,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
102,0.656584731579708,-0.444900285119557,1.96472939098769,0.263857930443159,0.497229839677413,-0.238257732056212,0.286793060673115,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
103,0.180728742205141,1.34038933779703,1.96472939098769,0.41670888622082,0.214556046144038,0.642747440868787,0.229942253466213,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
104,0.0998726473400086,1.64853353206968,1.96472939098769,1.37330908573196,0.705961370682825,0.77984843330697,0.223781838390141,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
105,0.0405793782789826,2.05314411035951,1.96472939098769,0.942803415853592,0.838424121799699,1.00726029108841,0.240682525122864,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
106,0.24436266098227,1.16552673242077,1.96472939098769,-0.775733321959749,-0.019195198755142,0.610983755795461,0.274798811340298,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
107,0.451997711711507,-0.752679070524887,1.96472939098769,0.0426720862842301,-0.25028732706783,-0.383738959243524,0.259927426441074,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
108,0.300242363144717,1.03699085254642,1.96472939098769,1.25350606280528,0.202249831433021,0.513544427284656,0.245248404578222,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
109,0.0495319552931259,1.96877470450234,1.96472939098769,0.495480202298668,1.21454184296155,1.03351931679319,0.275578387584864,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
110,0.000166995120033604,3.79313697465804,1.96472939098769,1.09333599838839,1.73583742341052,1.79470843049559,0.223867347744042,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
111,0.00255090647920702,3.03258109105115,1.96472939098769,0.960849355984602,0.580641761043572,1.47546944620196,0.236720350853964,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
112,1.33291955383684e-07,5.35137132136251,1.96472939098769,0.787946429182004,1.44361119118361,2.73555109251431,0.261312080355862,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
113,0.590711587951641,0.53815268701379,1.96472939098769,1.01988569440722,-0.223559701997415,0.28465349789541,0.279783451634486,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
114,0.004123559326023,2.88187143686483,1.96472939098769,0.508623488298478,1.4240906438701,1.46468947814378,0.258310415665549,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
115,0.00116364511540245,3.26653208847644,1.96472939098769,0.807836144879392,0.6895727480988,1.58035629544111,0.234064830778467,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
116,1.49909533586718e-07,5.3288520721462,1.96472939098769,1.1715729758447,2.71438593137256,2.87095742722058,0.290259321687597,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
117,0.79537541721702,-0.259475473269246,1.96472939098769,0.0995185877131947,0.863174373829627,-0.127801811936065,0.242594749311461,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
118,0.000110251495350217,3.89797308159034,1.96472939098769,1.8272382396378,1.3910818632145,1.90564129956597,0.239003709443425,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
119,0.000677700313919758,3.41993427990968,1.96472939098769,1.62541931528746,1.99108524931129,1.66093339438866,0.235867939554971,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
120,0.048794038327473,1.97521833895787,1.96472939098769,1.11496839776517,1.29738462965617,1.02098945581733,0.267185137074601,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
121,0.0329289639340405,-2.1388945993377,1.96472939098769,0.231495720472803,-0.818234931324104,-1.07591361817582,0.253032345549165,1,no,TRUE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
122,0.000330140160484106,3.61556875845131,1.96472939098769,1.98956807732637,2.32608100717849,1.79656674141144,0.246907033222617,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
123,1.20145522311859e-07,5.3712085093416,1.96472939098769,1.64836044958272,2.11065418801186,2.53435160513283,0.222633087867882,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
124,0.000294041274534218,3.64624703558212,1.96472939098769,1.00283156392731,1.25423053001898,1.79109285119723,0.241292610990738,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
125,0.0144518349382855,2.45441604143823,1.96472939098769,1.17857802968432,1.0256886948779,1.23645166044396,0.253780309563987,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
126,0.109264268625319,1.60437425270592,1.96472939098769,1.12755242257309,0.650929496097029,0.821890957026172,0.26243214895364,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
127,0.00142714550168762,3.20704286144831,1.96472939098769,1.33954593767067,1.0881183407477,1.60071240047252,0.249124872987492,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
128,0.0362725083855623,2.09952246335618,1.96472939098769,1.23638004702195,1.35441746876452,1.06551429006714,0.257559460031663,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
129,7.81067238005139e-05,3.98323941531013,1.96472939098769,1.52644624107633,1.74177036650679,1.97608251107774,0.246114571608627,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
130,0.0160192253057089,2.41671005982221,1.96472939098769,0.828826006949321,1.18305864348239,1.25961408031151,0.27166013585692,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
131,0.386813262946949,0.86616990340156,1.96472939098769,0.604535435684729,-0.218589423873385,0.414134907842881,0.228600670386562,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
132,1.05693508358887e-05,4.45062817480597,1.96472939098769,1.48818892176427,1.82333074799944,2.21618636805094,0.247953322743136,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
133,0.000138970255812458,3.8398176033877,1.96472939098769,1.27991736572697,1.01527329283336,1.88068546706452,0.239889448826901,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
134,0.00185575380956673,3.12914240582265,1.96472939098769,0.949901914634911,1.51271468547137,1.61962847512582,0.267904587857259,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
135,0.0572536211832184,1.90577603364334,1.96472939098769,1.01282946862414,0.659646366310496,0.92776272496525,0.236990052541786,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
136,0.0115135775144788,2.53609271456122,1.96472939098769,1.10045609323732,1.42819345588015,1.30834705774844,0.266143381951386,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
137,0.000991767144780957,3.31249506921569,1.96472939098769,1.49892619523067,1.7276061584524,1.58173088677379,0.228010427872375,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
138,0.159567078817831,1.40863101051601,1.96472939098769,1.07727621134157,0.784331259122999,0.68239195608536,0.234678502129565,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
139,0.00222364799499567,3.07455585934736,1.96472939098769,1.49729595710893,1.73040606424164,1.53137524393252,0.248083835929456,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
140,0.00864661422854677,2.63614276523399,1.96472939098769,1.84409811563425,1.36339507628654,1.36924648520785,0.269789731802488,1,no,TRUE,TRUE,1,1,0.25,500,0.25,0.5,1,2000,0
141,0.451128972995751,-0.754126507715091,1.96472939098769,0.147828465717987,-0.282608547511169,-0.372241684708372,0.243647296566638,1,no,FALSE,FALSE,1,1,0.25,500,0.25,0.5,1,2000,0
