study,pval,tstat,tcrit,mui,muin,yi,vi,N,hack,signif,affirm,Di
1,0.0947302051737917,1.70392291247822,2.00957523712924,0.142560069237975,0.403234160169545,1.56823769277009,0.847078951115766,20,no,FALSE,FALSE,0
1,0.275828557591403,1.10203869199521,2.00957523712924,0.142560069237975,0.227780632162902,0.910953420504821,0.683279917669411,20,no,FALSE,FALSE,0
1,0.449223956049146,0.762826246106271,2.00957523712924,0.142560069237975,-0.0865980514156787,0.587077840312072,0.592297802774238,20,no,FALSE,FALSE,0
1,0.266692675033283,1.12351647676605,2.00957523712924,0.142560069237975,0.486055125028051,1.28744755703439,1.31310726219899,20,no,FALSE,FALSE,0
1,0.064592834064692,1.89064333626079,2.00957523712924,0.142560069237975,0.486915344728061,1.89061280244751,0.999967700341852,20,no,FALSE,FALSE,0
1,0.800872280917863,-0.253591398241095,2.00957523712924,0.142560069237975,-0.107122685492651,-0.240680922446762,0.900770797315575,20,no,FALSE,FALSE,0
1,0.0118262691450567,-2.61493877638495,2.00957523712924,0.142560069237975,-0.631338545777822,-2.56566198552447,0.962666432542626,20,no,TRUE,FALSE,0
1,0.0154995917832573,2.5080836418763,2.00957523712924,0.142560069237975,-0.0772452393233128,2.35741392964208,0.883461563390408,20,no,TRUE,TRUE,0
1,0.171130811960058,-1.38894328765993,2.00957523712924,0.142560069237975,0.246127029425108,-1.56630358741484,1.27169469227279,20,no,FALSE,FALSE,0
1,0.872989759529558,-0.160700811204983,2.00957523712924,0.142560069237975,0.54392522571764,-0.127467816730765,0.629165581385619,20,no,FALSE,FALSE,0
1,0.882721020864249,-0.148291859858885,2.00957523712924,0.142560069237975,0.0111371874472427,-0.171607896657417,1.33918295340185,20,no,FALSE,FALSE,0
1,0.872946236828602,0.160756365047053,2.00957523712924,0.142560069237975,0.0295809436553755,0.178690242024176,1.23556420771347,20,no,FALSE,FALSE,0
1,0.610466259844138,0.51269791642477,2.00957523712924,0.142560069237975,0.138617207126097,0.363565872922266,0.50285539685633,20,no,FALSE,FALSE,0
1,0.921594728007595,0.0989334695021682,2.00957523712924,0.142560069237975,0.0362582858333935,0.0959988669765455,0.941555089754335,20,no,FALSE,FALSE,0
1,0.126731490049226,1.55353337473131,2.00957523712924,0.142560069237975,0.549658895022244,1.62995700330439,1.10080684443859,20,no,FALSE,FALSE,0
1,0.767888337754458,-0.296780721950998,2.00957523712924,0.142560069237975,0.170783834590222,-0.299329818387989,1.01725208912402,20,no,FALSE,FALSE,0
1,0.542731141997402,0.612969652627519,2.00957523712924,0.142560069237975,-0.456068085000045,0.595462744315351,0.94369410453446,20,no,FALSE,FALSE,0
