"","meta.name","author.year","meta.study.type","LogEta","VarLogEta","shapiro.pval","Mhat","Mhat.Lo","Mhat.Hi","Mhat.Pval","Analysis.Scale","Sval.Est","Sval.CI","Sval.Est.Num","Sval.CI.Num","Mhat.Worst","Mhat.Worst.Lo","Mhat.Worst.Hi","Mhat.Worst.Pval","group","group.pretty","discipline","Data.source","k.all","k.rc","k.affirm.rc","k.nonaffirm.rc","Qi.hif","Qi.lif","Qi.hif.diff","Psig.hif","Psig.lif","Psig.hif.diff","Psig.hif.RR","k.hif","k.lif","Qi.early","Qi.late","Qi.early.diff","Psig.early","Psig.late","Psig.early.diff","Psig.early.RR","k.early","k.late","meta.med.year","k.year.coded","Pdisaffirm.ratio","PZeroEst","logRR.hif","varlogRR.hif","logRR.first2","varlogRR.first2","excl.Pdisaffirm.ratio","excl.PZeroEst","excl.shapiro","excl.other"
"16","25365303","Klümper 2014","All observational","0.66923989918157","0.292417491885442","0.244615918970735","35.2790867986559","28.7526180710996","41.8055555262122","2.19380069665931e-13","other","Not possible","Not possible","Inf","Inf","6.00687680908112","1.05625159650767","10.9575020216546","0.0248536241799138","plos","PLOS One","nat","author.contact","122","42","31","11","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
"17","25409023","Rai 2014","All observational","-0.764691019322337","0.242167859139834","0.00165191509066732","0.25867001258126","0.166329242829226","0.351010782333295","8.24875729499297e-07","log-ratio","Not possible","Not possible","Inf","Inf","0.0476841045192257","-0.0278728669901561","0.123241076028607","0.204112389909322","plos","PLOS One","med","scraped","60","54","18","36","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"0.516666666666666","0.511781609195402","0.00488505747126411","0.5","0.327586206896552","0.172413793103448","1.52631578947368","2","58","2008","60","0.951219512195122","0",NA,NA,"0.476924072090309","0.538314176245211","FALSE","FALSE","TRUE","FALSE"
"18","25548908","Lean 2014","All randomized","2.59918204408707","1.58690248857178","0.685101407797713","1.39985356194791","0.986403337822617","1.8133037860732","2.59382713363454e-05","smd","Not possible","Not possible","Inf","Inf","0.514611264381313","8.4280967372008e-05","1.02913824779525","0.0499801886857789","plos","PLOS One","nat","scraped","47","12","11","1","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
"19","26023925","Hartgerink 2015","All randomized","0.400804687111389","0.189901521498625","0.0506227024598811","1.32487997423467","1.10539363863089","1.54436630983845","0","smd","Not possible","> 200","Inf","200","0.17024052855614","-0.0314118790698927","0.371892936182173","0.0935414550328424","plos","PLOS One","soc","public","105","82","64","18","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","1.77272727272727","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
"20","26305785","Verkuil 2015","All observational","0.613941673493594","0.894772014992152","0.452614268465712","0.392550923650213","0.333559958104748","0.451541889195677","2.22044604925031e-16","z","Not possible","> 200","Inf","200","0.0936729843507216","-0.066588827110788","0.253934795812231","0.0852070953081925","plos","PLOS One","soc","public","48","41","39","2","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
"21","26398658","Paradies 2015","All observational","0.742453066004488","0.0906254606990214","0.237877320855118","0.233996901219615","0.214698488263934","0.253295314175296","0","z","Not possible","Not possible","Inf","Inf","0.0670010830454651","0.0459786161560844","0.0880235499348458","3.40326401238045e-06","plos","PLOS One","soc","author.contact","173","173","143","30","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","0","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
"22","26785039","González-Browne 2016","Unclear","-0.943200158129858","0.478408349189623","0.206240938002492","0.242048029768911","-0.114857097969007","0.598953157506828","0.174890440247257","smd","4.51784798493825","1.00006610529211","4.51784798493825","1.00006610529211","-0.166356715326244","-0.474786725504839","0.142073294852351","0.270650950872005","plos","PLOS One","nat","public","37","27","8","19","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","6","0",NA,NA,NA,NA,"TRUE","FALSE","FALSE","FALSE"
"23","27416099","Endendijk 2016","All observational","-0.728659726538681","0.233533926683971","2.32048664486301e-11","0.0691217275173897","0.0140895031539706","0.124153951880809","0.0143733755348305","smd","Not possible","1.00006610529211","Inf","1.00006610529211","0.025292048265322","-0.0282798206946422","0.0788639172252862","0.350708489670025","plos","PLOS One","soc","author.contact","145","114","10","104","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","2.05263157894737","0.503448275862069",NA,NA,NA,NA,"FALSE","TRUE","TRUE","FALSE"
"24","27835651","Kambach 2016","Mixed","-0.10118825189097","0.391085351483863","0.577431414811827","-0.00183190806066575","-0.118727267589583","0.115063451468252","0.974966604249079","z","1.0016894660304","1.00006610529211","1.0016894660304","1.00006610529211","-0.130675061162669","-0.225718334982804","-0.0356317873425338","0.00835807707971492","plos","PLOS One","nat","public","156","59","8","51","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","3.41605839416058","0.0961538461538462",NA,NA,NA,NA,"TRUE","TRUE","FALSE","FALSE"
"25","27870889","Rytwinski 2016","Unclear","-0.488716814384887","0.472127779092704","0.374174926338506","0.97960445451632","0.414830548979084","1.54437836005356","0.00137355080143031","smd","Not possible","7.63143237503898","Inf","7.63143237503898","0.155515057472106","-0.243702340231187","0.554732455175398","0.419670075154648","plos","PLOS One","nat","author.contact","31","31","10","21","NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,"NaN","NaN","NaN",NA,NA,NA,NA,NA,NA,NA,"0","1.85714285714286","0",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE"
