meta.name,d,var,kvarven.original,kvarven.replication,kvarven.metaanalysis,kvarven.effecto,kvarven.originalinc,kvarven.replication_inc,kvarven.noconvert,kvarven.publi,kvarven.tausqrm,kvarven.originalu,kvarven.replication_s,kvarven.meta_s,kvarven.ser,kvarven.sem,kvarven.sed,kvarven.weight,kvarven.ml,kvarven.threepsm,kvarven.threepsmse,kvarven.diff,kvarven.seo,yi,vi,Zi,pval.two,affirm
Belle,0.38600001,0.0361,Mazar et al. (2008),fhiodhfoihdso,Belle & Cantarelli (2017),0.48,1,0,0,1,0.0234,1,-0.0399999991059303,0.430000007152557,0.0408170744776726,0.0688788145780563,0.0800645053386688,1,0,0.417800009250641,0.05267,0.469999998807907,0.195918367346939,0.38600001,0.0361,2.031579,0.042196294430296,TRUE
Blanken,0.08,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.08,0.06,0.32659863237109,0.743971478075057,FALSE
Blanken,0.27,0.04,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.27,0.04,1.35,0.177015982874804,FALSE
Blanken,-0.05,0.01,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,-0.05,0.01,-0.5,0.617075077451974,FALSE
Blanken,-0.08,0.05,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,-0.08,0.05,-0.357770876399966,0.720514787136255,FALSE
Blanken,0.07,0.05,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.07,0.05,0.313049516849971,0.754243042391037,FALSE
Blanken,0.05,0.11,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.05,0.11,0.150755672288882,0.880168454906725,FALSE
Blanken,0.49,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.49,0.08,1.73241161390704,0.0832003016185214,FALSE
Blanken,0.03,0.09,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.03,0.09,0.1,0.920344325445942,FALSE
Blanken,0.3,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.3,0.06,1.22474487139159,0.220671361919847,FALSE
Blanken,0.54,0.06,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.54,0.06,2.20454076850486,0.0274863361115103,TRUE
Blanken,-0.11,0.07,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,-0.11,0.07,-0.41576092031015,0.677584957952476,FALSE
Blanken,0.12,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.12,0.08,0.424264068711929,0.671373240540873,FALSE
Blanken,0.61,0.1,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.61,0.1,1.92898937270271,0.0537321815581835,FALSE
Blanken,0.48,0.1,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.48,0.1,1.51789327688082,0.129041305099468,FALSE
Blanken,0.63,0.09,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.63,0.09,2.1,0.0357288411256331,TRUE
Blanken,0.22,0.08,Monin & Miller (2001),Ebersole (2016),Blanken et al. (2015),0.4239,1,0,0,1,0.06,1,0.146599993109703,0.310000002384186,0.0178574714809656,0.0382660105824471,0.042227678000927,1,1,0.242315992712975,0.0553419,0.163400009274483,0.150051020408163,0.22,0.08,0.777817459305202,0.436676633674891,FALSE
