Mu,T2,m,t2w,se,Nmax,hack,rho,k,k.hacked,methName,MhatCorr,MhatLoCorr,MhatHiCorr,MhatCoverCorr,VhatCorr,kNonaffirmPub,kNonaffirmPubUnhacked,kNonaffirmPubHacked,TheoryExpTstat,MeanTstat,MeanTstatUnhacked,MeanTstatHacked,TheoryVarTstat,EstVarTstat,EstVarTstatUnhacked,EstVarTstatHacked,TheoryExpTstatMarg,tstatMeanMLE,tstatMeanMLELo,tstatMeanMLEHi,tstatMeanMLECover,Mean.yi,Mean.yi.Unhacked,Mean.yi.Hacked,Mean.vi,Mean.vi.Unhacked,Mean.vi.Hacked,dp.k,dp.kAffirm,dp.kNonaffirm,dp.Nrealized,doParallelTime
0.1,0,500,0,0.5,1,affirm2,0,800,0,,0.0997943953628823,0.0584717571718283,0.141117033553936,0.948979591836735,0.000115549832149159,768.855102040816,768.855102040816,0,0.112533188499263,0.111501669283974,0.111501669283974,,0.837994303893838,0.838527704854679,0.838527704854679,,0.2,0.199588790725765,0.116943514343657,0.282234067107872,0.948979591836735,0.0558440731175307,0.0558440731175307,,0.250104483502933,0.250104483502933,,800,31.1448979591837,768.855102040816,1,2.16139795918367
0.1,0,500,0,0.5,1,affirm2,0,1600,800,,0.0990348852584222,0.0697360549082372,0.128333715608607,0.943434343434343,0.00128960732763671,1537.03434343434,768.418181818182,768.616161616162,0.112533188499263,0.109631815229196,0.108677625410703,0.110582183151481,0.837994303893838,0.841764996122081,0.840940799727698,0.84261224184289,0.2,0.198069770516845,0.139472109816474,0.256667431217215,0.943434343434343,0.0549029207408924,0.0544471900806643,0.0553569304140376,0.250100821424506,0.25010756909497,0.250094081607892,1600,62.9656565656566,1537.03434343434,1,4.00251515151515
0.1,0,500,0,0.5,10,affirm2,0,800,0,,0.101968247026509,0.060515667549844,0.143420826503173,0.965591397849462,0.000718540549920583,768.827956989247,768.827956989247,0,0.112533188499263,0.114758626606888,0.114758626606888,,0.837994303893838,0.839163057145107,0.839163057145107,,0.2,0.203936494053017,0.121031335099688,0.286841653006347,0.965591397849462,0.0574552349677674,0.0574552349677674,,0.25011407604226,0.25011407604226,,800,31.1720430107527,768.827956989247,10,11.8708817204301
0.1,0,500,0,0.5,10,affirm2,0,1600,800,,0.099572001590086,0.0677863455115619,0.13135765766861,0.950515463917526,0.000940912117069315,1304.30309278351,768.538144329897,535.764948453608,0.112533188499263,0.110759624691252,0.110498799408389,0.111118680912754,0.837994303893838,0.840661204577476,0.841257203220034,0.839807186004732,0.2,0.199144003180172,0.135572691023124,0.26271531533722,0.950515463917526,0.0554739997920324,0.0553325391448465,0.0556692731675558,0.250075093175429,0.250105447041376,0.250030885790987,1600,295.696907216495,1304.30309278351,9.2046043814433,27.1828041237113
0.1,0,500,0,0.5,10,affirm2,0.9,800,0,,0.101626213917573,0.060228233326752,0.143024194508394,0.963440860215054,0.000279003162539565,768.597849462366,768.597849462366,0,0.112533188499263,0.114472009993695,0.114472009993695,,0.837994303893838,0.838138974095939,0.838138974095939,,0.2,0.203252427835146,0.120456466653504,0.286048389016788,0.963440860215054,0.0573360395292297,0.0573360395292297,,0.250073647757064,0.250073647757064,,800,31.4021505376344,768.597849462366,10,11.1029569892473
0.1,0,500,0,0.5,10,affirm2,0.9,1600,800,,0.0988104807197487,0.0671574920713557,0.130463469368142,0.941414141414141,1.57254602064402e-06,1305.90101010101,768.779797979798,537.121212121212,0.112533188499263,0.110242196677778,0.111430636499281,0.108540503411097,0.837994303893838,0.838697899834686,0.837811814603998,0.840072287750418,0.2,0.197620961439497,0.134314984142711,0.260926938736284,0.941414141414141,0.055239483808519,0.0558456833915509,0.0543711860788412,0.250108285897703,0.2501151190129,0.250098983910871,1600,294.09898989899,1305.90101010101,9.20667297979798,26.3211111111111
0.1,0,500,0.25,0.5,1,affirm2,0,800,0,,0.101664856401903,0.0228402948512862,0.18048941795252,0.960824742268041,0.253784372702681,714.356701030928,714.356701030928,0,-0.0897214795510002,-0.091620297432438,-0.091620297432438,,1.40478145413012,1.41143107397247,1.41143107397247,,0.2,0.203329712803806,0.0456805897025723,0.360978835905039,0.960824742268041,-0.045535445982585,-0.045535445982585,,0.250155415955281,0.250155415955281,,800,85.6432989690722,714.356701030928,1,1.92228865979381
0.1,0,500,0.25,0.5,1,affirm2,0,1600,800,,0.1011251463313,0.0456601917227847,0.156590100939816,0.958333333333333,0.252603599555148,1429.84791666667,714.670833333333,715.177083333333,-0.0897214795510002,-0.090795383082976,-0.0870721151804128,-0.0944614206632265,1.40478145413012,1.40938368308751,1.40742376359914,1.41139716218572,0.2,0.202250292662601,0.0913203834455694,0.313180201879632,0.958333333333333,-0.0450233816252698,-0.0431497915171057,-0.0468687085300606,0.250140457428624,0.250140135053316,0.250140659947704,1600,170.152083333333,1429.84791666667,1,4.04598958333333
0.1,0,500,0.25,0.5,10,affirm2,0,800,0,,0.104816966388286,0.0254670772899914,0.18416685548658,0.95625,0.255977192851945,715.383333333333,715.383333333333,0,-0.0897214795510002,-0.0891217777779646,-0.0891217777779646,,1.40478145413012,1.41303752133728,1.41303752133728,,0.2,0.209633932776571,0.0509341545799827,0.36833371097316,0.95625,-0.044238593074974,-0.044238593074974,,0.250116985694497,0.250116985694497,,800,84.6166666666667,715.383333333333,10,10.9431666666667
0.1,0,500,0.25,0.5,10,affirm2,0,1600,800,,0.101878881498421,0.0343391544682375,0.169418608528605,0.950515463917526,0.254530693747956,974.585567010309,715.154639175258,259.430927835052,-0.0897214795510002,-0.0916517434827148,-0.095029607625711,-0.0824831023839105,1.40478145413012,1.41273086536257,1.41419514874091,1.40876418090421,0.2,0.203757762996843,0.068678308936475,0.338837217057211,0.950515463917526,-0.0454760336688608,-0.0471574097239264,-0.0409123265521252,0.250150680975463,0.25013520757767,0.250196387364711,1600,625.414432989691,974.585567010309,8.17267396907216,23.6885051546392
