repName,scenName,Mu,T2,m,t2w,se,Nmax,hack,k,k.hacked,dp.k,dp.kAffirm,dp.kNonaffirm,MhatAll,MhatLoAll,MhatHiAll,MhatCoverAll,MhatPvalAll,MhatNaive,MhatLoNaive,MhatHiNaive,MhatCoverNaive,MhatPvalNaive,methName,MhatCorr,MhatLoCorr,MhatHiCorr,MhatCoverCorr,MhatPvalCorr,Mhat.UH,T2.UH,kAssumedHacked,meanHackedExp,meanHackedExpTrue,yiMeanAssumedHacked,yiCorrMeanAssumedHacked,yiMeanAssumedUnhacked,viMeanAssumedHacked
1,1,1,0.1,50,0.1,1,20,affirm,50,20,50,23,27,0.985200160137498,0.8507508254831,1.1196494947919,TRUE,8.96469324026017e-47,1.6330147481971,1.33871348935211,1.92731600704208,FALSE,4.79038371260273e-15,omniscient,0.985120124911548,0.779709333904188,1.19053091591891,TRUE,6.75584191289307e-13,1.01666195671499,0,20,2.58149239060468,2.56177061908491,2.53377911349175,0.968948679602055,1.03532013708267,0.930341152816134
1,1,1,0.1,50,0.1,1,20,affirm,50,20,50,23,27,0.985200160137498,0.8507508254831,1.1196494947919,TRUE,8.96469324026017e-47,1.6330147481971,1.33871348935211,1.92731600704208,FALSE,4.79038371260273e-15,allAffirms,0.835497736127244,0.659511445815135,1.01148402643935,TRUE,9.37027415751653e-13,0.858248622997941,0,23,2.54967604110173,2.56177061908491,2.53831540625982,0.846887988156028,0.864960445864423,0.944472334189009
2,1,1,0.1,50,0.1,1,20,affirm,50,20,49,26,23,0.997510719945632,0.855086248672332,1.13993519121893,TRUE,6.98062962542889e-43,1.70721986169016,1.38126582779789,2.03317389558243,FALSE,4.53177273740065e-14,omniscient,1.11950910630766,0.866134272901458,1.37288393971385,TRUE,1.05207096056422e-11,1.14001324234214,0.0233546145085256,19,2.61070972083725,2.56177061908491,2.57266413140375,1.10196765290863,1.10071810628551,0.897416273066472
2,1,1,0.1,50,0.1,1,20,affirm,50,20,49,26,23,0.997510719945632,0.855086248672332,1.13993519121893,TRUE,6.98062962542889e-43,1.70721986169016,1.38126582779789,2.03317389558243,FALSE,4.53177273740065e-14,allAffirms,0.718847341461239,0.509325070261955,0.928369612660522,FALSE,1.05309175680035e-08,0.756602142334067,0,26,2.53563565067931,2.56177061908491,2.49873224989352,0.719698741548273,0.736309703826298,0.889681297551475
3,1,1,0.1,50,0.1,1,20,affirm,50,20,48,23,25,1.08052076241073,0.952080412543289,1.20896111227818,TRUE,4.44228065442516e-61,1.56501404764478,1.20715962448696,1.92286847080261,FALSE,1.68661387117625e-11,omniscient,0.947251003698138,0.652451423480034,1.24205058391624,TRUE,5.32214620408333e-08,1.00765468632038,0.47420199106647,18,2.54646244804352,2.56177061908491,2.45556313691474,0.916755375191587,1.03230356002846,0.903623477096901
3,1,1,0.1,50,0.1,1,20,affirm,50,20,48,23,25,1.08052076241073,0.952080412543289,1.20896111227818,TRUE,4.44228065442516e-61,1.56501404764478,1.20715962448696,1.92286847080261,FALSE,1.68661387117625e-11,allAffirms,0.587340193777928,0.378050047951921,0.796630339603935,FALSE,9.21613386406086e-07,0.562358782961012,0,23,2.4995865282618,2.56177061908491,2.59928371610906,0.662055970808274,0.615428711792429,0.927451322390608
4,1,1,0.1,50,0.1,1,20,affirm,50,20,50,27,23,1.11586655404115,0.963201799780936,1.26853130830136,TRUE,1.50787059424956e-46,1.89476976308467,1.57415281948223,2.21538670668712,FALSE,4.94827131549266e-16,omniscient,1.3573752883589,1.11052381031025,1.60422676640755,FALSE,6.59692854064411e-15,1.31141776061786,0.0330282334565846,20,2.64100249771795,2.56177061908491,2.7552477010506,1.42566296395051,1.28487760565033,0.933867629575058
4,1,1,0.1,50,0.1,1,20,affirm,50,20,50,27,23,1.11586655404115,0.963201799780936,1.26853130830136,TRUE,1.50787059424956e-46,1.89476976308467,1.57415281948223,2.21538670668712,FALSE,4.94827131549266e-16,allAffirms,0.967236161528778,0.787957186071571,1.14651513698598,TRUE,1.28499148266183e-14,0.870000067973227,0,27,2.55261030803407,2.56177061908491,2.72852411502829,1.04591387496744,0.868744829772093,0.923599509296364
5,1,1,0.1,50,0.1,1,20,affirm,50,20,49,24,25,0.990380611529309,0.872132605154976,1.10862861790364,TRUE,1.4794528791659e-60,1.58159385220106,1.26380043150876,1.89938727289336,FALSE,2.47938638902532e-13,omniscient,1.00485587177304,0.747227421247168,1.26248432229891,TRUE,3.81489065747415e-10,1.07494078956539,0.134127145128498,19,2.57797225076063,2.56177061908491,2.4444426236959,0.941411162500662,1.05992514161148,0.956445740230448
5,1,1,0.1,50,0.1,1,20,affirm,50,20,49,24,25,0.990380611529309,0.872132605154976,1.10862861790364,TRUE,1.4794528791659e-60,1.58159385220106,1.26380043150876,1.89938727289336,FALSE,2.47938638902532e-13,allAffirms,0.697226419734029,0.496339528782062,0.898113310685997,FALSE,7.93584510875949e-09,0.747732521304623,0,24,2.53050664801498,2.56177061908491,2.47966361897668,0.696889492266318,0.749209489725055,0.933583730202617
6,1,1,0.1,50,0.1,1,20,affirm,50,20,48,24,24,0.976681860328321,0.85526680652701,1.09809691412963,TRUE,5.31028671916252e-56,1.61098389865729,1.2146290925928,2.00733870472178,FALSE,1.38946174872384e-10,omniscient,1.01250057107128,0.69514968544838,1.32985145669419,TRUE,6.24491154202075e-08,0.974199434001887,0.648778589915967,18,2.53297199949022,2.56177061908491,2.64731727347299,1.08854470798466,0.978764104567402,0.914553146950034
